id,class_id,lesson_id,title,department,center,teacher,start_date,end_date,capacity,duration_hours,days,min_price,max_price,course_url,cover,certificate,is_active,changed_at,updated_at
68f48ffd7138c8dac9069988,362599.0,4596.0,(202-201) LPIC 2,فناوری اطلاعات و ارتباطات,بلوار کاوه(قیطریه),مشخص نشده,یکشنبه ۱۷ اسفند ۱۴۰۴,سه شنبه ۵ خرداد ۱۴۰۵,۷,۵۵,یکشنبه ساعت ۱۷:۰۰ تا ۲۰:۰۰ | سه شنبه ساعت ۱۷:۰۰ تا ۲۰:۰۰,"۶۶,۰۰۰,۰۰۰","۸۸,۰۰۰,۰۰۰",https://mftplus.com/lesson/4596/(202-201)-LPIC-2?refp=%D8%A8%D9%84%D9%88%D8%A7%D8%B1%20%DA%A9%D8%A7%D9%88%D9%87%28%D9%82%DB%8C%D8%B7%D8%B1%DB%8C%D9%87%29,https://mftcdn.ir/files/lessonimages/UsgXgW5SgfqFjUJX.png,مدرک مجتمع فنی تهران,1,2026-02-20 00:11:13,2026-02-24 13:17:35
696f82e9078fa92f2a035de3,371149.0,4596.0,(202-201) LPIC 2,فناوری اطلاعات و ارتباطات,سعادت آباد (مرکزی),محمدعلی فلاحی,جمعه ۸ خرداد ۱۴۰۵,جمعه ۱۶ مرداد ۱۴۰۵,۸,۵۵,جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,"۶۶,۰۰۰,۰۰۰","۸۸,۰۰۰,۰۰۰",https://mftplus.com/lesson/4596/(202-201)-LPIC-2?refp=%D8%B3%D8%B9%D8%A7%D8%AF%D8%AA%20%D8%A2%D8%A8%D8%A7%D8%AF%20%28%D9%85%D8%B1%DA%A9%D8%B2%DB%8C%29,https://mftcdn.ir/files/lessonimages/UsgXgW5SgfqFjUJX.png,مدرک مجتمع فنی تهران,1,2026-02-20 00:11:13,2026-02-24 13:17:35
6926abba086b7b8fe80ef433,,,(HTML & CSS (Web Design I,فناوری اطلاعات و ارتباطات,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۸ خرداد ۱۴۰۵,۵,۶۰,جمعه ساعت ۱۴:۳۰ تا ۱۹:۳۰,"۵۶,۰۰۰,۰۰۰","۵۶,۰۰۰,۰۰۰",https://mftplus.com/lesson/6456/(HTML-&-CSS-(Web-Design-I?refp=%D8%A2%DB%8C%D8%AA%20%D8%A7%D9%84%D9%84%D9%87%20%DA%A9%D8%A7%D8%B4%D8%A7%D9%86%DB%8C%20%28%D8%BA%D8%B1%D8%A8%29,https://mftcdn.ir/files/lessonimages/6dbb6fe0e045a53b.jpeg,,0,2026-02-21 00:08:46,2026-02-21 00:08:46
694fe2d17975df9b130dbd93,369353.0,6456.0,(HTML & CSS (Web Design I,فناوری اطلاعات و ارتباطات,بلوار کاوه(قیطریه),مشخص نشده,شنبه ۱۶ اسفند ۱۴۰۴,دوشنبه ۴ خرداد ۱۴۰۵,۵,۶۰,شنبه ساعت ۱۷:۰۰ تا ۲۰:۰۰ | دوشنبه ساعت ۱۷:۰۰ تا ۲۰:۰۰,"۴۵,۰۰۰,۰۰۰","۵۶,۰۰۰,۰۰۰",https://mftplus.com/lesson/6456/(HTML-&-CSS-(Web-Design-I?refp=%D8%A8%D9%84%D9%88%D8%A7%D8%B1%20%DA%A9%D8%A7%D9%88%D9%87%28%D9%82%DB%8C%D8%B7%D8%B1%DB%8C%D9%87%29,https://mftcdn.ir/files/lessonimages/6dbb6fe0e045a53b.jpeg,مدرک مجتمع فنی تهران,1,2026-02-22 08:23:10,2026-02-24 13:17:35
6948fabc2e137dac3c01b6f3,368800.0,6456.0,(HTML & CSS (Web Design I,فناوری اطلاعات و ارتباطات,پرند,مشخص نشده,سه شنبه ۵ اسفند ۱۴۰۴,سه شنبه ۶ مرداد ۱۴۰۵,۰,۶۰,سه شنبه ساعت ۱۸:۰۰ تا ۲۱:۰۰,"۵۶,۰۰۰,۰۰۰","۵۶,۰۰۰,۰۰۰",https://mftplus.com/lesson/6456/(HTML-&-CSS-(Web-Design-I?refp=%D9%BE%D8%B1%D9%86%D8%AF,https://mftcdn.ir/files/lessonimages/6dbb6fe0e045a53b.jpeg,مدرک مجتمع فنی تهران,1,2026-02-20 00:11:13,2026-02-24 13:17:35
691836919ed627355300ac04,365172.0,6456.0,(HTML & CSS (Web Design I,فناوری اطلاعات و ارتباطات,سعادت آباد (مرکزی),تورج آرمین پور,پنجشنبه ۷ اسفند ۱۴۰۴,پنجشنبه ۲۴ اردیبهشت ۱۴۰۵,۸,۶۰,پنجشنبه ساعت ۱۴:۳۰ تا ۱۹:۳۰,"۴۵,۰۰۰,۰۰۰","۵۶,۰۰۰,۰۰۰",https://mftplus.com/lesson/6456/(HTML-&-CSS-(Web-Design-I?refp=%D8%B3%D8%B9%D8%A7%D8%AF%D8%AA%20%D8%A2%D8%A8%D8%A7%D8%AF%20%28%D9%85%D8%B1%DA%A9%D8%B2%DB%8C%29,https://mftcdn.ir/files/lessonimages/6dbb6fe0e045a53b.jpeg,مدرک مجتمع فنی تهران,1,2026-02-20 00:11:13,2026-02-24 13:17:35
6981bfbecbae1977d1040144,372571.0,6456.0,(HTML & CSS (Web Design I,فناوری اطلاعات و ارتباطات,اسلامشهر,مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۶ مرداد ۱۴۰۵,۱۲,۶۰,جمعه ساعت ۱۲:۰۰ تا ۱۵:۰۰,"۴۵,۰۰۰,۰۰۰","۵۶,۰۰۰,۰۰۰",https://mftplus.com/lesson/6456/(HTML-&-CSS-(Web-Design-I?refp=%D8%A7%D8%B3%D9%84%D8%A7%D9%85%D8%B4%D9%87%D8%B1,https://mftcdn.ir/files/lessonimages/6dbb6fe0e045a53b.jpeg,مدرک مجتمع فنی تهران,1,2026-02-20 00:11:13,2026-02-24 13:17:35
6934238c220ded99e9039fa2,,,(HTML & CSS (Web Design I,فناوری اطلاعات و ارتباطات,سعادت آباد (مرکزی),صدیقه اخلاقی,شنبه ۹ اسفند ۱۴۰۴,شنبه ۲ خرداد ۱۴۰۵,۱۵,۶۰,شنبه ساعت ۱۷:۳۰ تا ۲۰:۳۰ | چهارشنبه ساعت ۱۷:۳۰ تا ۲۰:۳۰,"۴۵,۰۰۰,۰۰۰","۵۶,۰۰۰,۰۰۰",https://mftplus.com/lesson/6456/(HTML-&-CSS-(Web-Design-I?refp=%D8%B3%D8%B9%D8%A7%D8%AF%D8%AA%20%D8%A2%D8%A8%D8%A7%D8%AF%20%28%D9%85%D8%B1%DA%A9%D8%B2%DB%8C%29,https://mftcdn.ir/files/lessonimages/6dbb6fe0e045a53b.jpeg,,0,2026-02-24 13:13:28,2026-02-24 13:13:28
69771e34fee652ee8e059334,371649.0,6456.0,(HTML & CSS (Web Design I,فناوری اطلاعات و ارتباطات,نیاوران,مشخص نشده,دوشنبه ۱۱ اسفند ۱۴۰۴,دوشنبه ۱۱ خرداد ۱۴۰۵,۹,۶۰,دوشنبه ساعت ۰۹:۰۰ تا ۱۴:۰۰,"۴۵,۰۰۰,۰۰۰","۵۶,۰۰۰,۰۰۰",https://mftplus.com/lesson/6456/(HTML-&-CSS-(Web-Design-I?refp=%D9%86%DB%8C%D8%A7%D9%88%D8%B1%D8%A7%D9%86,https://mftcdn.ir/files/lessonimages/6dbb6fe0e045a53b.jpeg,مدرک مجتمع فنی تهران,1,2026-02-20 00:11:13,2026-02-24 13:17:35
695297eac37c27b9cc05f5a3,369529.0,6456.0,(HTML & CSS (Web Design I,فناوری اطلاعات و ارتباطات,سیدخندان,مشخص نشده,پنجشنبه ۱۴ اسفند ۱۴۰۴,پنجشنبه ۲۱ خرداد ۱۴۰۵,۱۰,۶۰,پنجشنبه ساعت ۱۳:۰۰ تا ۱۸:۰۰,"۴۵,۰۰۰,۰۰۰","۵۶,۰۰۰,۰۰۰",https://mftplus.com/lesson/6456/(HTML-&-CSS-(Web-Design-I?refp=%D8%B3%DB%8C%D8%AF%D8%AE%D9%86%D8%AF%D8%A7%D9%86,https://mftcdn.ir/files/lessonimages/6dbb6fe0e045a53b.jpeg,مدرک مجتمع فنی تهران,1,2026-02-20 00:11:13,2026-02-24 13:17:35
